"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"07","福島県","07344","岩瀬郡天栄村","073440001000","大字下松本","37.253420","140.238526","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440002000","大字大里","37.237675","140.246095","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440003000","大字湯本","37.264075","139.995105","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440004000","大字飯豊","37.245895","140.286363","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440005000","大字白子","37.247880","140.262736","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440006000","大字牧之内","37.267525","140.171357","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440007000","大字上松本","37.261403","140.221524","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440008000","大字柿之内","37.236390","140.311900","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440009000","大字沖内","37.242316","140.311075","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440010000","大字高林","37.235229","140.298204","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440011000","大字小川","37.229497","140.279870","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440012000","大字羽鳥","37.217065","140.025188","0","1"
"07","福島県","07344","岩瀬郡天栄村","073440013000","大字田良尾","37.292127","140.063164","0","1"
